Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
0,2023-04-04,104.22171783447266,105.07762635151548,103.54495313711536,103.83357415733603,24420100
1,2023-04-05,103.97291564941406,105.59515710589082,103.16677219338038,105.2766800226226,28290500
2,2023-04-06,107.90411376953125,108.65054511701238,103.83357846595176,104.75915364055206,48711500
3,2023-04-10,105.93353271484375,107.07805463574618,104.6198139282229,106.4709641629739,27067400
4,2023-04-11,104.84872436523438,106.22216293833723,104.18191416724264,106.04301910676263,26311800
5,2023-04-12,104.14209747314453,106.24205820052738,103.84352190700692,106.07286892315904,24370300
6,2023-04-13,106.91883087158203,106.97854295202298,105.33639240206342,105.33639240206342,24843600
7,2023-04-14,108.35197448730469,108.42164110764425,106.33162731127321,106.38139243712666,26578000
8,2023-04-17,105.46578216552734,105.65488055059328,104.02267689835315,104.16201774578109,37571200
9,2023-04-18,104.00276184082031,106.03305590180257,103.57480758885212,105.98329077756064,26596400
10,2023-04-19,103.68429565429688,104.48049216706148,102.57957659955501,103.08715206626977,20905700
11,2023-04-20,104.78901672363281,105.74444800146313,103.37577509974376,103.41558568545663,27820800
12,2023-04-21,104.908447265625,105.49563631362956,104.28144003927596,104.96815934695626,25800100
13,2023-04-24,105.46578216552734,106.12263785123642,104.20182073865433,104.98806272702657,23542800
14,2023-04-25,103.3558578491211,106.1823484668057,103.34590330520571,105.32643992429568,46664100
15,2023-04-26,103.21652221679688,105.84395986079909,102.14165929158905,104.42076383754022,53347600
16,2023-04-27,107.07805633544922,107.85435127935429,103.0473318001292,103.95299784504715,50089200
17,2023-04-28,106.8292465209961,106.83920106462901,104.5899525683896,106.5306785498371,36139800
18,2023-05-01,106.6899185180664,107.47616045562452,106.31172936546945,106.33163086061985,26681700
19,2023-05-02,104.81886291503906,106.68991470916808,103.21652305785557,106.63020263275621,30997200
20,2023-05-03,104.908447265625,106.97854454706649,104.46058387636243,105.0278714282875,21795400
21,2023-05-04,104.1918716430664,105.09753777760864,103.47529629660639,104.98806056672765,23419500
22,2023-05-05,105.06768035888672,105.37620289836305,103.61462818899871,104.32124898163032,26625100
